timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779398567604,74,Local API Test,200,,Thread Group 1-1,text,true,,585,185,2,2,http://localhost:8080/api/tasks,65,0,35
1779398567635,42,Local API Test,200,,Thread Group 1-2,text,true,,585,185,2,2,http://localhost:8080/api/tasks,33,0,3
1779398567681,9,Local API Test,200,,Thread Group 1-2,text,true,,585,185,2,2,http://localhost:8080/api/tasks,9,0,0
1779398567681,9,Local API Test,200,,Thread Group 1-1,text,true,,585,185,2,2,http://localhost:8080/api/tasks,9,0,0
1779398567692,8,Local API Test,200,,Thread Group 1-2,text,true,,585,185,2,2,http://localhost:8080/api/tasks,8,0,0
1779398567692,9,Local API Test,200,,Thread Group 1-1,text,true,,585,185,2,2,http://localhost:8080/api/tasks,8,0,0
1779398567701,9,Local API Test,200,,Thread Group 1-2,text,true,,585,185,2,2,http://localhost:8080/api/tasks,9,0,0
1779398567701,9,Local API Test,200,,Thread Group 1-1,text,true,,585,185,2,2,http://localhost:8080/api/tasks,9,0,0
1779398567711,9,Local API Test,200,,Thread Group 1-2,text,true,,585,185,2,2,http://localhost:8080/api/tasks,9,0,0
1779398567711,10,Local API Test,200,,Thread Group 1-1,text,true,,585,185,2,2,http://localhost:8080/api/tasks,9,0,0
1779398567722,9,Local API Test,200,,Thread Group 1-2,text,true,,585,185,2,2,http://localhost:8080/api/tasks,9,0,0
1779398567722,10,Local API Test,200,,Thread Group 1-1,text,true,,585,185,2,2,http://localhost:8080/api/tasks,9,0,0
1779398567732,12,Local API Test,200,,Thread Group 1-2,text,true,,585,185,2,2,http://localhost:8080/api/tasks,12,0,0
1779398567734,10,Local API Test,200,,Thread Group 1-1,text,true,,585,185,2,2,http://localhost:8080/api/tasks,10,0,0
1779398567745,8,Local API Test,200,,Thread Group 1-1,text,true,,585,185,2,2,http://localhost:8080/api/tasks,8,0,0
1779398567745,9,Local API Test,200,,Thread Group 1-2,text,true,,585,185,2,2,http://localhost:8080/api/tasks,9,0,0
1779398567755,8,Local API Test,200,,Thread Group 1-2,text,true,,585,185,2,2,http://localhost:8080/api/tasks,8,0,0
1779398567754,9,Local API Test,200,,Thread Group 1-1,text,true,,585,185,2,2,http://localhost:8080/api/tasks,9,0,0
1779398567764,8,Local API Test,200,,Thread Group 1-2,text,true,,585,185,2,2,http://localhost:8080/api/tasks,8,0,0
1779398567764,9,Local API Test,200,,Thread Group 1-1,text,true,,585,185,2,2,http://localhost:8080/api/tasks,8,0,0
1779398567835,10,Local API Test,200,,Thread Group 1-3,text,true,,585,185,1,1,http://localhost:8080/api/tasks,10,0,1
1779398567846,11,Local API Test,200,,Thread Group 1-3,text,true,,585,185,1,1,http://localhost:8080/api/tasks,10,0,0
1779398567858,9,Local API Test,200,,Thread Group 1-3,text,true,,585,185,1,1,http://localhost:8080/api/tasks,9,0,0
1779398567868,11,Local API Test,200,,Thread Group 1-3,text,true,,585,185,1,1,http://localhost:8080/api/tasks,10,0,0
1779398567880,10,Local API Test,200,,Thread Group 1-3,text,true,,585,185,1,1,http://localhost:8080/api/tasks,10,0,0
1779398567891,12,Local API Test,200,,Thread Group 1-3,text,true,,585,185,1,1,http://localhost:8080/api/tasks,11,0,0
1779398567904,12,Local API Test,200,,Thread Group 1-3,text,true,,585,185,1,1,http://localhost:8080/api/tasks,12,0,0
1779398567918,10,Local API Test,200,,Thread Group 1-3,text,true,,585,185,1,1,http://localhost:8080/api/tasks,9,0,0
1779398567929,8,Local API Test,200,,Thread Group 1-3,text,true,,585,185,1,1,http://localhost:8080/api/tasks,8,0,0
1779398567938,8,Local API Test,200,,Thread Group 1-3,text,true,,585,185,1,1,http://localhost:8080/api/tasks,7,0,0
1779398568034,9,Local API Test,200,,Thread Group 1-4,text,true,,585,185,1,1,http://localhost:8080/api/tasks,8,0,1
1779398568044,8,Local API Test,200,,Thread Group 1-4,text,true,,585,185,1,1,http://localhost:8080/api/tasks,8,0,0
1779398568053,10,Local API Test,200,,Thread Group 1-4,text,true,,585,185,1,1,http://localhost:8080/api/tasks,10,0,0
1779398568064,9,Local API Test,200,,Thread Group 1-4,text,true,,585,185,1,1,http://localhost:8080/api/tasks,9,0,0
